sample_id,lithology,analyte,value,unit,qualifier,method,source_table
HX12-23,Amphibolite,Th,2.77,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,U,1.17,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,La,11.9,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Ce,25.6,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Pr,3.71,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Nd,16.9,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Sm,4.07,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Eu,0.81,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Dy,3.28,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Yb,1.77,ppm,,Q-ICP-MS,Table 1
HX12-23,Amphibolite,Lu,0.264,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,SiO2,55.77,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,TiO2,0.9,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,Al2O3,17.68,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,Fe2O3,7.31,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,MnO,0.13,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,MgO,4.68,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,CaO,8.5,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,Na2O,3.62,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,K2O,1.57,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,P2O5,0.35,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,LOI,0.25,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,Total,100.75,wt%,,XRF/fused bead,Table 1
HX12-01,Basaltic  andesite,Rb,25.0,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Sr,1730.0,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Y,25.0,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Zr,97.6,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Nb,12.1,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Ba,587.0,ppm,,XRF,Table 1
HX12-01,Basaltic  andesite,Cs,0.662,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Pb,48.0,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Th,4.76,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,U,0.924,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,La,30.8,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Ce,64.9,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Pr,7.5,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Nd,29.1,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Sm,5.11,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Eu,1.54,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Dy,3.84,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Yb,2.06,ppm,,Q-ICP-MS,Table 1
HX12-01,Basaltic  andesite,Lu,0.304,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,SiO2,48.4,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,TiO2,1.1,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,Al2O3,17.77,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,Fe2O3,9.47,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,MnO,0.16,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,MgO,8.62,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,CaO,10.65,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,Na2O,2.59,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,K2O,0.77,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,P2O5,0.07,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,LOI,0.36,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,Total,99.95,wt%,,XRF/fused bead,Table 1
HX12-19,Tuffaceous  sandstone,Rb,13.5,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Sr,580.0,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Y,19.0,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Zr,67.2,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Nb,2.06,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Ba,315.0,ppm,,XRF,Table 1
HX12-19,Tuffaceous  sandstone,Cs,0.0821,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Pb,1.72,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Th,0.593,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,U,0.214,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,La,4.01,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Ce,10.1,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Pr,1.39,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Nd,6.65,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Sm,1.97,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Eu,0.673,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Dy,2.86,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Yb,1.7,ppm,,Q-ICP-MS,Table 1
HX12-19,Tuffaceous  sandstone,Lu,0.247,ppm,,Q-ICP-MS,Table 1
